id,question_en,answer_en,question_te,answer_te
faq26,Can I translate answers into Telugu or Hindi?,"Yes! The assistant automatically responds in the detected language of your question.",సమాధానాలను తెలుగులో పొందవచ్చా?,"అవును! మీ భాషను యాప్ ఆటోమేటిక్‌గా గుర్తించి అదే భాషలో సమాధానం ఇస్తుంది."
faq27,How can I check local disaster news?,"Go to the 'Updates' tab to see official disaster updates and advisories.",స్థానిక విపత్తు వార్తలను ఎలా తెలుసుకోవాలి?,"'అప్‌డేట్స్' విభాగంలో అధికారిక సమాచారం చూడండి."
faq28,How do I share my location with rescuers?,"Use the 'Share Location' option in the app to send coordinates to emergency teams.",నా లొకేషన్‌ను రెస్క్యూ టీమ్‌లతో ఎలా షేర్ చేయాలి?,"'Share Location' బటన్ ద్వారా మీ లొకేషన్ పంపండి."
faq29,What should I do if the navigation is not loading?,"Check your GPS permissions or restart the app. Offline mode will still show cached safe zones.",నావిగేషన్ పనిచేయకపోతే ఏమి చేయాలి?,"GPS అనుమతులు చెక్ చేయండి లేదా యాప్ రీస్టార్ట్ చేయండి. ఆఫ్‌లైన్‌లో కూడా సేవ్ చేసిన ప్రాంతాలు కనిపిస్తాయి."
faq30,Can I report fake news?,"Yes. Go to the 'Report' section and submit the message you suspect as fake.",ఫేక్ న్యూస్‌ను రిపోర్ట్ చేయవచ్చా?,"అవును, 'Report' విభాగంలో నకిలీ వార్తను సమర్పించండి."
faq31,How can I know which areas are safe now?,"The navigation map uses local data to mark danger-free zones in green.",ప్రస్తుతం సురక్షిత ప్రాంతాలు ఏవి అని ఎలా తెలుసుకోవాలి?,"నావిగేషన్ మ్యాప్‌లో పచ్చ రంగులో సురక్షిత ప్రాంతాలు చూపిస్తాయి."
faq32,Can I access help materials offline?,"Yes, emergency procedures, safety tips, and FAQs are stored offline.",ఆఫ్‌లైన్‌లో సహాయక సమాచారం చూడవచ్చా?,"అవును, అత్యవసర సూచనలు మరియు సమాచారం ఆఫ్‌లైన్‌లో అందుబాటులో ఉంటాయి."
faq33,How can I learn first aid?,"Go to the 'First Aid' section for offline tutorials and step-by-step guidance.",ఫస్ట్ ఎయిడ్ ఎలా నేర్చుకోవాలి?,"'First Aid' విభాగంలో ఉన్న సూచనలు చదవండి."
faq34,Can I share this app with others?,"Yes, you can share the APK or QR code from the app's share section.",ఈ యాప్‌ను ఇతరులతో షేర్ చేయవచ్చా?,"అవును, APK లేదా QR కోడ్ ద్వారా యాప్‌ను షేర్ చేయవచ్చు."
faq35,What should I do if the app crashes?,"Restart the app and ensure you have enough storage. It works offline so no internet is needed.",యాప్ క్రాష్ అయితే ఏమి చేయాలి?,"యాప్ రీస్టార్ట్ చేయండి మరియు ఫోన్‌లో స్థలం ఉందో చూడండి."
